"scenario","scenalpha","mag1","mag2","mag3","mag4","mag5","ef3_2","ef3_3","ef3_4","ef3_5","maska","maskb","siI","siI1","ramp","t1","t2","t3","t4","t5","t6","t7","t8","pS","pS2","pS3","pID","lambda","beta","hosp","cc","hosp2","cc2","hosp3","cc3","time","S","E","I","Ih","Ic","A","R","Rh","Rc","D","S2","E2","I2","Ih2","Ic2","A2","R2","Rh2","Rc2","D2","S3","E3","I3","Ih3","Ic3","A3","R3","Rh3","Rc3","D3","Id","It","Iht","Ict","Et"
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,20,2281209.85564448,18.9673586681445,2.20181003233906,0.00434240824006455,0.00466030179949598,9.73158332734254,8.22535463580734,0.00499369790715085,0.0021262243495195,0.0021262243495195,2332382.99997283,19.3928431452744,5.71990646992836,0.125598090804451,0.0460826779073275,6.39725584323414,7.22484685954143,0.0723991352500835,0.0105474761805875,0.0105474761805875,1227103.48147061,10.202880633008,5.00892497750983,0.176567310616198,0.0743374657434745,1.36610522130377,3.55390524648475,0.101779577381861,0.0170144766940696,0.0170144766940696,4.6986999434375,13.3622297348883,0.431588255111011,0.125080445450298,48.5630824464268
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,21,2281201.84795203,22.8839786669819,2.63227810957988,0.00502094619526854,0.00536527248296446,11.752128172714,9.86294683372296,0.00557744413288828,0.00237626128985754,0.00237626128985754,2332374.81264815,23.3973225578277,6.9075166608978,0.15234487583596,0.0559475692094132,7.72550242796525,8.83281770054086,0.0897188574102114,0.0130905987138404,0.0130905987138404,1227099.17398998,12.3097004086103,6.04891582008152,0.214168263547848,0.090250842581223,1.6497463072702,4.34486678783223,0.126127851649779,0.0211168703218297,0.0211168703218297,5.66737226473722,16.1118083604119,0.523097769852678,0.151563684273601,58.5910016334199
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,22,2281192.18677854,27.6093144792897,3.15447564443305,0.00585404696604569,0.00622949455164774,14.1885966154276,11.837165006078,0.006255367947128,0.00266540304072682,0.00266540304072682,2332364.93475079,28.2286592673896,8.33959314223433,0.184559341555772,0.0678300175332725,9.32716491778967,10.7743779454533,0.110712930249629,0.0161758230574941,0.0161758230574941,1227093.97707239,14.8515428489511,7.30298591629426,0.259455747924825,0.109418806235589,1.99177413040778,5.29992109900397,0.155641572410931,0.0260937460020693,0.0260937460020693,6.83637550674449,19.4304021577288,0.633347454767152,0.183478318320509,70.6895165956304
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,23,2281180.53070639,33.3103492983579,3.7870093750197,0.00687324242056801,0.00728582040135738,17.1270229105635,14.2176994467927,0.0070487004854845,0.00300240860889291,0.00300240860889291,2332353.01720429,34.057582310724,10.0667040358679,0.223372312959356,0.0821468681892405,11.2587996943892,13.1182289459275,0.136133292147241,0.0199141239145346,0.0199141239145346,1227087.70706322,17.9182311929251,8.81541779599922,0.314019491162166,0.132513783427078,2.40426605172987,6.45286240412838,0.191377823705867,0.0321241206356333,0.0321241206356333,8.2470248168324,23.4353427254465,0.766211518559765,0.221946472017676,85.286162802007
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,24,2281166.46781958,40.1885434983816,4.55236754303259,0.00811646667503566,0.00857374042513755,20.6711893171759,17.088611171188,0.00798300226993518,0.00339784050102112,0.00339784050102113,2332338.63885237,41.0900713134136,12.149849160128,0.270148478866362,0.0994012152212997,13.5886301537752,15.9472810763213,0.166887416510941,0.0244394103551427,0.0244394103551427,1227080.1423855,21.6181345701598,10.6396290308405,0.379777989259054,0.160347331512133,2.90179087070141,7.84447435165465,0.234612342594446,0.0394240072966171,0.0394240072966171,9.94917431417939,28.2682109559601,0.926365221959022,0.26832228715857,102.896749381955
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,25,2281149.50119049,48.4869315805963,5.47771435866944,0.0096294054171045,0.0101407813307945,24.9462819327279,20.5512935519705,0.00908904302049374,0.00386442959121288,0.00386442959121288,2332321.29162008,49.574612637941,14.6626088096841,0.326534441628148,0.120200122702546,16.3989499440159,19.3615770782068,0.204070376446752,0.0299132560007189,0.0299132560007189,1227071.015733,26.0819855749605,12.840053921931,0.459046055657089,0.193898725280919,3.50192202584999,9.52396800875934,0.286884596054395,0.0482540456459809,0.048254045645981,12.0029739718105,34.0998266223011,1.1194495320166,0.324239629314259,124.143529793498
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,26,2281129.03129886,58.4987184568449,6.59585304561827,0.0114671244402394,0.0120441948298042,30.1033194104172,24.7280600008226,0.0104038713202401,0.00441751869988524,0.00441751869988524,2332300.36253847,59.8109885030261,17.6937468107757,0.394516947781308,0.145276099829723,19.7890342733801,23.4818339650838,0.249003680150013,0.036530628037773,0.036530628037773,1227060.00461308,31.467504360612,15.4944229966298,0.554616682595211,0.234349599130402,4.2258592915297,11.5507241257833,0.350052376242535,0.0589287435900889,0.0589287435900889,14.4809981901045,41.1362935016305,1.35227064860669,0.39166989378993,149.777211320483
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,27,2281104.33486196,70.5776300183687,7.94638594223443,0.0136960261895172,0.0143529870779979,36.3244855240295,29.7664642452431,0.0119721054750013,0.00507559794764471,0.00507559794764471,2332275.11209978,72.160859741117,21.3503448284662,0.476493028501079,0.17551296756728,23.8786453811857,28.4537086749658,0.303282030836945,0.0445267852112034,0.0445267852112034,1227046.71995905,37.9649663949998,18.6965077229823,0.669859645404909,0.283125673388734,5.09917735545924,13.9963914125549,0.426357536170452,0.0718276046579004,0.0718276046579004,17.4708090310449,49.6262788218124,1.63304032812952,0.472991628034012,180.703456154486
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,28,2281074.53930487,85.1503943586795,9.57711399532728,0.0163962054282533,0.0171503626297018,43.8295599994686,35.8445108167313,0.013847492793414,0.00586095148785421,0.00586095148785422,2332244.64815511,87.0605270057706,25.7615821991357,0.575354608511882,0.211977060539039,28.8122599767688,34.4529431337589,0.368829718508144,0.0541855966356635,0.0541855966356635,1227030.69239729,45.8039163330774,22.5594305109398,0.808840446736938,0.341947087100978,6.15272856930582,16.9474173972565,0.518505265925624,0.0874085473460055,0.0874085473460055,21.0780475837297,59.8697924763495,1.97166577094679,0.571074510269718,218.014837697528
1,"1A",0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.4,0.5,0.3,0.3,0.00407,41,53,63,94,107,125,156,205,0.17886,0.47205,0.78571,0.33,1.65,0.48,0.00419,0.004,0.056,0.019,0.0899,0.035,29,2281038.59195489,102.731800623259,11.5457259707792,0.0196642886667223,0.0205366706571462,52.8836787399676,43.1769431421853,0.0160947933557123,0.00680043890647924,0.00680043890647924,2332207.89441771,105.036327428365,31.083297137112,0.694590624347331,0.255954885841423,34.7641705826465,41.6915737936284,0.447968674343504,0.0658495809643406,0.0658495809643406,1227011.35567639,55.2612684407901,27.219658963303,0.97646387564267,0.412889146684903,7.42373231758053,20.5081029009917,0.629759764360471,0.106224099628126,0.106224099628126,25.4301645753343,72.2287815630344,2.3800994918402,0.689380703183473,263.029396492413
