"Frontier","hosp","ue"
"","Objective-Min","Objective-Min"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103044","659.79"
"false","103193","650.7"
"false","103226","608.13"
"false","103226","608.13"
"true","103307","563.59"
"true","103307","563.59"
"true","103307","563.59"
"true","103307","563.59"
"false","103323","578.28"
"false","103323","578.28"
"false","103448","660.33"
"false","103511","596.95"
"false","103534","578.16"
"false","103534","578.16"
"false","103860","597.23"
"false","104037","659.58"
"false","104037","659.58"
"false","104916","622.75"
"false","104960","596.24"
"false","105128","575.6"
"false","105128","575.6"
"false","105177","622.91"
"false","105309","575.46"
"false","105767","609.62"
"false","106112","574.41"
"false","106169","572.67"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"false","106176","660.6"
"true","106923","530.64"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","106978","660.38"
"false","107060","590.52"
"false","107413","646.95"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108303","659.06"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108354","658.62"
"false","108491","641.99"
"false","108491","641.99"
"false","108584","658.95"
"false","108584","658.95"
"false","108584","658.95"
"false","108584","658.95"
"false","108947","656.63"
"false","109290","634.38"
"false","109339","650.3"
"false","109508","601.9"
"false","109508","601.9"
"false","109516","587.55"
"false","109516","587.55"
"false","109516","587.55"
"false","109516","587.55"
"false","109546","645.4"
"true","109642","521.76"
"false","109975","563.39"
"false","110292","620.81"
"false","110309","655.31"
"false","110443","547.87"
"false","110854","579.13"
"false","111074","543.14"
"false","111074","543.14"
"false","111074","543.14"
"false","111366","658.59"
"false","111366","658.59"
"false","111366","658.59"
"false","111678","540.34"
"false","111843","626.88"
"false","111847","550.84"
"false","111904","622.89"
"false","112084","657.5"
"false","112425","605.16"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112619","657.27"
"false","112925","591.87"
"false","113104","564.24"
"false","113457","603.92"
"false","113507","640.59"
"false","113507","640.59"
"false","113507","640.59"
"false","113851","570.35"
"false","114302","633.01"
"false","114519","604.94"
"false","114626","658.44"
"false","114626","658.44"
"false","114626","658.44"
"false","114626","658.44"
"false","114626","658.44"
"false","114777","583.95"
"false","115011","616.87"
"false","115011","616.87"
"false","115114","604.6"
"false","115513","632.86"
"false","115736","564.75"
"false","115779","564.24"
"false","115925","603.29"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116096","658.37"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116298","657.91"
"false","116300","657.15"
"false","116300","657.15"
"false","116300","657.15"
